ParentFile,Filename,shimmerLocaldB_sma3nz_stddevNorm,loudness_sma3_percentile20.0,F3amplitudeLogRelF0_sma3nz_amean,loudness_sma3_percentile50.0,loudness_sma3_amean,F2amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,F2amplitudeLogRelF0_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1amplitudeLogRelF0_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2,alphaRatioV_sma3nz_stddevNorm,StddevUnvoicedSegmentLength,loudness_sma3_stddevNorm,loudness_sma3_percentile80.0,shimmerLocaldB_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,HNRdBACF_sma3nz_amean,slopeV500.1500_sma3nz_amean,loudness_sma3_meanRisingSlope,alphaRatioV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F1amplitudeLogRelF0_sma3nz_stddevNorm
gemaps_part_diaper.csv,bfb4662ea7ea4b8468d74c7ad1909ef1_Diaper-Change_49_female_181002_340074.wav_features_GeMAPSv01a.csv,0.7027443,0.1148133,-147.9035,0.1428274,0.421391,-146.4664,-0.5471651,0.2428571,-0.5677297,46.81261,-152.7381,5.167824,-2.190032,0.2522026,1.217534,0.9868522,1.069118,0.06150837,44.66841,7.481863,0.008295592,8.998878,-3.423377,41.64479,-0.5381386
gemaps_part_diaper.csv,1bb7c3a247deb74ec63b50048d97295b_Diaper-Change_NO-AGE_male_210609_1048016.wav_features_GeMAPSv01a.csv,0.9490142,0.06226173,-139.4241,0.1104324,0.2438005,-139.4205,-0.6555104,0.845,-0.6552079,51.13108,-153.423,2.302433,4.403415,0.775806,1.036633,0.5009035,0.4666423,0.03867306,50.15767,13.26598,0.01142029,2.883501,1.790993,48.82865,-0.5622883
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_181223_402716.wav_features_GeMAPSv01a.csv,0.5588641,0.1251783,-183.6015,0.2083326,0.3092979,-183.2441,-0.2820931,0.735,-0.2923159,60.03127,-189.0469,16.07217,-0.7259132,0.8472849,0.812052,0.4699388,1.505908,0.1446804,45.81459,8.435521,-0.003806148,5.873523,-7.072165,43.9591,-0.2556962
gemaps_part_diaper.csv,3b09f1cad01fe3972282858c331f52d5_Diaper-Change_23_female_210717_1079369.wav_features_GeMAPSv01a.csv,0.6111611,0.07673505,-74.69855,0.4041929,0.4412344,-72.39424,-1.31171,0.362,-1.377988,46.94024,-76.52715,6.519093,1.314629,0.3047228,0.8059498,0.8503428,1.079392,0.0924281,44.59288,7.745597,0.02139064,2.926372,5.983267,40.42115,-1.347989
gemaps_part_diaper.csv,e8f2d8b96f020af62e904e8e49445ce3_Diaper-Change_60_male_190606_526227.wav_features_GeMAPSv01a.csv,1.347715,0.499987,-53.44516,1.690065,1.67466,-47.35921,-1.456995,0.17,-1.741437,50.69794,-50.17403,4.542534,-3.228497,0.1083205,0.6468157,2.542342,0.5166118,0.09557015,47.3399,13.45545,0.004193363,18.99873,-3.310737,46.1554,-1.911357
gemaps_part_diaper.csv,6a82f817144649d0b8ff551570c6824e_Diaper-Change_74_male_180711_224920.wav_features_GeMAPSv01a.csv,0.5269586,0.4050097,-108.0637,0.6827049,0.7537612,-111.1053,-0.9248785,0.2141667,-0.8698995,44.43988,-131.6828,1.203712,7.8158,0.1975035,0.5271363,1.05047,1.017422,0.09890169,43.7866,5.959348,0.005033952,4.795324,0.8115537,43.23617,-0.7263191
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_181127_381418.wav_features_GeMAPSv01a.csv,0.7052873,0.1742863,-161.3215,0.2412201,0.9050369,-162.195,-0.4909175,0.9825,-0.477787,57.57085,-176.255,13.47438,1.23272,1.138977,1.219144,2.236116,1.330603,0.1221262,46.61872,6.273413,0.01447071,4.906542,6.100981,44.09647,-0.374202
gemaps_part_diaper.csv,083da0e5d76f87affd7b1b8fb1dcc4d0_Diaper-Change_NO-AGE_male_220130_1277051.wav_features_GeMAPSv01a.csv,1.080437,0.04396741,-76.92252,0.5639779,0.6006867,-72.77096,-1.131042,0.3925,-1.234978,50.18151,-71.10131,5.818726,-1.624396,0.2238722,0.8423291,1.147073,0.6449205,0.07491931,47.15406,11.65985,-0.007731338,4.546751,-5.149308,44.36279,-1.381682
gemaps_part_diaper.csv,8222356f4d4be372fb94488cdaabb075_Diaper-Change_8_male_180705_201998.wav_features_GeMAPSv01a.csv,1.108122,0.2839997,-69.01035,2.645503,2.294233,-66.83566,-1.272041,0.1577778,-1.336215,47.34345,-73.17527,6.009083,1.168851,0.1233584,0.5847681,3.547643,0.7986757,0.1267686,44.88856,8.342858,0.01215585,23.80528,4.844434,41.33437,-1.352622
gemaps_part_diaper.csv,5ec09ae3e9fd6fb143bf92b431e182f1_Diaper-Change_81_female_190212_458364.wav_features_GeMAPSv01a.csv,0.8726283,0.4388941,-49.47916,1.468704,1.378745,-48.8388,-1.702399,0.1614286,-1.725313,48.19924,-51.49702,3.712673,2.269837,0.08407965,0.5834538,1.916134,0.8547453,0.0616065,46.69179,8.056822,0.01263717,9.674027,3.691626,44.48657,-1.732752
gemaps_part_diaper.csv,4bab9ec2d93b988cda7a6ca3bbf87f2d_Diaper-Change_24_male_211022_1159831.wav_features_GeMAPSv01a.csv,0.5835846,0.1138048,-130.1934,0.6985679,0.5858777,-126.4377,-0.6435596,0.1664706,-0.7106741,47.73936,-135.5642,11.45039,-0.4923037,0.1588911,0.65046,0.9222329,1.711917,0.1650891,41.95538,5.282352,-0.01858154,6.949545,-10.2783,36.28897,-0.6813612
gemaps_part_diaper.csv,91b68ac0435205bd35a17e991f05603f_Diaper-Change_NO-AGE_female_210324_985259.wav_features_GeMAPSv01a.csv,0.5500641,0.1726302,-64.57063,0.4128308,0.506542,-59.8301,-1.633614,0.22625,-1.841121,55.44065,-99.25488,11.23059,0.3638054,0.2575334,0.7910686,0.7471563,1.35267,0.1272676,47.54863,3.355389,0.04266115,5.608567,22.45709,44.21006,-1.065309
gemaps_part_diaper.csv,af12b68ff743306045f00b31a7ab9e12_Diaper-Change_244_male_181002_340727.wav_features_GeMAPSv01a.csv,0.7085252,0.1613987,-94.21122,0.4208913,0.4214177,-95.08479,-0.9786724,0.1890909,-0.9617788,46.98335,-105.6005,3.241997,-0.5037494,0.1441246,0.5467636,0.6313667,0.7092292,0.06703542,45.80714,11.37675,-0.01156777,3.191757,-9.155663,43.74136,-0.9508991
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_190620_540227.wav_features_GeMAPSv01a.csv,0.6298671,0.5826436,-48.37168,1.523216,1.59945,-46.74703,-1.666929,0.1485714,-1.744468,49.79686,-50.19264,4.411522,1.350563,0.09448031,0.5873775,2.514359,1.006902,0.07383239,47.09306,6.932534,0.01811153,7.917182,5.395639,45.38534,-1.685643
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_180716_235469.wav_features_GeMAPSv01a.csv,0.9859316,0.05994914,-156.3487,0.06969913,0.323579,-155.8154,-0.5451384,1.286667,-0.5533206,48.85653,-156.838,7.759857,0.713302,0.8342795,1.571159,0.3988312,0.8424608,0.08981042,47.18634,7.263281,0.03582462,2.851949,7.457428,41.09667,-0.5493803
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_180703_190389.wav_features_GeMAPSv01a.csv,1.325077,0.326386,-146.5872,0.4822673,1.192214,-145.3528,-0.5708185,0.865,-0.5887389,46.24381,-146.1601,1.84618,-0.2571669,1.077277,0.955355,2.559624,0.6889198,0.03385909,45.58976,11.58008,-0.01167288,5.035997,-9.460724,44.39763,-0.613645
gemaps_part_diaper.csv,NO-EMAIL_Diaper-Change_NO-AGE_NO-GENDER_181220_398047.wav_features_GeMAPSv01a.csv,1.161547,0.100348,-110.1665,0.5847445,0.9686618,-112.8952,-0.889281,0.261,-0.8400355,48.24538,-114.2552,1.495552,1.386065,0.218607,0.9720667,2.009451,0.9029021,0.03262749,47.67745,8.621163,0.01817589,10.8594,5.284809,46.74982,-0.8646572
gemaps_part_diaper.csv,a4b623bf2526365851a23953966ee1bc_Diaper-Change_211_female_190622_541804.wav_features_GeMAPSv01a.csv,0.6925211,0.2767635,-177.6856,0.473642,0.771628,-176.78,-0.311954,0.3184615,-0.3260248,50.57979,-188.0361,36.42737,-1.283688,0.4069747,0.9455522,1.075937,1.411258,0.4164592,49.54288,3.902745,0.001996251,22.14492,-11.46092,14.15242,-0.2274748
gemaps_part_diaper.csv,692863dd8919549c6fb678e367ef75ed_Diaper-Change_44_female_180823_302414.wav_features_GeMAPSv01a.csv,0.6592729,0.684544,-129.8391,1.226165,1.359489,-127.3129,-0.7037481,0.198,-0.7426899,56.32123,-139.7683,20.74901,-1.268748,0.1456113,0.5684256,2.073543,1.368509,0.212963,44.59945,5.513187,-0.0127497,13.04238,-4.769568,35.57222,-0.6674845
gemaps_part_diaper.csv,088e89f151a3f3f63c59688c8eaefa25_Diaper-Change_37_male_210823_1110884.wav_features_GeMAPSv01a.csv,0.8686635,0.131424,-71.66979,1.302477,1.157561,-71.53948,-1.195114,0.245,-1.200223,49.83044,-63.12224,5.081146,-0.6701524,0.1691892,0.6982815,1.923969,0.9663589,0.1198119,48.03004,10.01382,-0.0216979,5.873476,-10.65737,44.7493,-1.52754
gemaps_part_diaper.csv,496dff3f6419cf6654fbefbdc041f0b5_Diaper-Change_17_female_210623_1058878.wav_features_GeMAPSv01a.csv,0.8441634,0.06308859,-118.1113,0.4276598,1.286539,-118.4173,-0.8447691,0.35875,-0.8393183,52.391,-138.9234,5.331322,0.751958,0.3141432,1.167579,3.052533,1.207492,0.05582273,49.93156,3.296355,0.004556446,6.751879,11.41091,47.05968,-0.6479102
gemaps_part_diaper.csv,eadffd490e447fab27d8e923c9b05438_Diaper-Change_14_female_180707_210971.wav_features_GeMAPSv01a.csv,0.699898,0.2779042,-88.54977,0.6825448,0.8300865,-86.53758,-1.00576,0.2671428,-1.046124,48.80558,-88.95032,5.393032,-1.303181,0.2127852,0.9125695,0.87523,0.8302659,0.05820526,45.83502,8.520885,-0.005327388,4.209745,-5.616689,43.41254,-1.098062
gemaps_part_diaper.csv,0881d70ae4a7ed2930f5ac2555b36418_Diaper-Change_28_male_190727_561186.wav_features_GeMAPSv01a.csv,0.6618238,0.5578197,-46.68659,0.8377782,0.8873674,-48.1351,-1.451308,0.08444445,-1.398074,46.57037,-37.45613,9.527866,-0.5198998,0.04573137,0.4870938,1.177908,0.9942918,0.155199,43.81804,9.520337,-0.03325056,9.60536,-12.46009,37.04251,-2.219281
